Gene,Log2FoldChange,pvalue
ZNF771,-0.26,0.0273
SLC3A2,0.22,0.0273
DDIT4,-0.46,0.0273
SZRD1,-0.15,0.0274
C18ORF21,0.17,0.0274
KLHL25,-0.23,0.0275
NIPAL2,0.48,0.0275
FGFRL1,-0.25,0.0275
IFI27,-0.78,0.0275
GTF2B,0.15,0.0275
FAM83H,0.31,0.0276
COPG1,-0.12,0.0276
SETD7,-0.24,0.0276
DKK1,1.27,0.0276
MOG,-0.06,0.0276
TMEM17,0.23,0.0276
CYP2U1,-0.32,0.0277
PIP,-0.3,0.0277
ISG20L2,0.18,0.0277
ST13P4,0.14,0.0277
ITGA7,-0.37,0.0277
C8B,-0.62,0.0277
INSM2,-0.15,0.0278
CATSPER2,-0.33,0.0278
GPR61,-0.2,0.0278
GTF2H2C,0.23,0.0278
CEMIP2,0.28,0.0278
DNAAF1,-0.65,0.0278
SLC35C1,-0.36,0.0278
TAF4B,0.63,0.0279
METTL2A,0.14,0.028
TRPC4,-0.46,0.028
CCR3,0.54,0.028
RNF31,-0.14,0.028
HNRNPA3,0.15,0.028
GPR62,-0.49,0.028
RPLP1,0.26,0.028
CD163L1,0.47,0.0281
NR2C2AP,0.22,0.0281
DRAXIN,-0.18,0.0281
LDHD,-0.56,0.0281
CYP4F2,-0.97,0.0281
CEP68,0.18,0.0282
ACTR3C,-0.36,0.0282
ERCC4,-0.23,0.0282
CCDC96,-0.22,0.0282
YBEY,0.26,0.0282
PRKCA,-0.23,0.0282
DCC,-0.37,0.0282
SHROOM1,0.26,0.0283
TMEM101,0.24,0.0283
C6ORF201,-0.32,0.0283
C3,-0.45,0.0283
ASIC4,-0.24,0.0283
SLC48A1,-0.21,0.0283
CARD10,0.24,0.0283
PWAR5,0.5,0.0284
LOC644936,0.25,0.0284
LTC4S,-0.47,0.0284
CACNG4,0.94,0.0284
PARP12,0.21,0.0284
PCDHGC5,-0.4,0.0285
FOXC1,-0.52,0.0285
NR1H2,-0.15,0.0285
SEC62,-0.16,0.0285
SLC22A18AS,-0.63,0.0285
LIPN,-0.09,0.0285
ZNF423,-0.42,0.0286
LTBP2,-0.54,0.0286
VPS72,0.2,0.0286
SLC27A2,-0.54,0.0286
NBEAP1,-0.27,0.0286
HADH,-0.29,0.0286
NUP85,0.17,0.0287
SCCPDH,-0.28,0.0287
GRIPAP1,-0.12,0.0288
LINC00312,0.33,0.0288
CMYA5,-0.6,0.0288
KLHL24,-0.21,0.0288
THOC3,0.2,0.0288
NPR2,0.53,0.0288
CDH8,-0.35,0.0288
MOGAT2,-0.83,0.0288
APBB1IP,-0.52,0.0289
PRRG2,-0.56,0.0289
IFRD2,0.18,0.0289
RNF216P1,0.17,0.0289
JDP2,-0.31,0.0289
MTCH2,-0.15,0.0289
ALDH18A1,0.23,0.029
POLD1,0.26,0.029
SLC19A3,0.5,0.029
PCDHAC2,-0.64,0.029
FUBP1,0.25,0.029
PLVAP,-0.29,0.029
BAG3,0.26,0.0291
SIGLEC10,0.46,0.0291
MAPK11,-0.38,0.0291
SDC4P,-0.14,0.0291
KIAA1586,0.21,0.0291
ARHGAP21,-0.23,0.0291
CYP2B7P,-0.95,0.0291
ACTG2,0.51,0.0291
MPV17,0.19,0.0291
AKR1C6P,-0.84,0.0292
UGT1A5,0.76,0.0292
TOMM7,0.21,0.0292
STRN3,-0.17,0.0292
APOC3,-0.86,0.0293
SLC25A16,-0.19,0.0294
GTF2IRD2P1,-0.32,0.0294
TUBA4A,-0.41,0.0294
WNT3,-0.31,0.0294
DRGX,-0.16,0.0294
NRK,-0.45,0.0295
PACSIN3,0.37,0.0295
RPS15,0.24,0.0295
RINL,0.34,0.0295
REM1,-0.4,0.0295
PRRT2,-0.38,0.0295
GAB1,-0.24,0.0296
PWWP3A,-0.2,0.0296
IK,0.13,0.0297
MRPS18B,0.2,0.0297
MTLN,0.26,0.0297
MIF,0.3,0.0297
VPS37D,-0.41,0.0297
TSPEAR,-0.52,0.0298
NEIL3,0.57,0.0298
ATL1,-0.31,0.0298
REEP1,-0.65,0.0298
SRM,0.26,0.0298
ANGPT4,-0.21,0.0298
LMBRD1,-0.19,0.0298
PPIC,-0.23,0.0299
ZNF282,0.16,0.0299
GPR88,-1.05,0.0299
STMP1,0.14,0.0299
OR51B2,-0.05,0.0299
OR10J3,-0.1,0.0299
SHISA5,0.17,0.03
MTDH,0.2,0.03
MARCKSL1,0.37,0.03
XAF1,-0.41,0.03
OR3A1,-0.04,0.03
CCM2L,-0.27,0.03
CIAO3,-0.17,0.03
PKN1,0.27,0.03
FEZF1,-0.28,0.0301
FAM120AOS,0.11,0.0301
CYTOR,0.43,0.0301
INSRR,-0.33,0.0301
WNT8B,-0.22,0.0301
MIR9-3HG,-0.53,0.0301
MMP23B,-0.6,0.0301
ABHD16B,-0.25,0.0301
ACVR2B,0.32,0.0301
PPARA,-0.29,0.0302
AP3S1,0.17,0.0302
PVR,0.19,0.0302
NANOS1,0.26,0.0302
RBM19,0.15,0.0303
SLC14A1,-0.48,0.0303
MMP2,-0.59,0.0303
CIDECP1,-0.2,0.0303
KRTAP1-1,0.35,0.0304
LARS1,0.16,0.0304
LTBP3,-0.33,0.0304
EME2,-0.38,0.0304
ENO3,-0.48,0.0304
CAMLG,0.18,0.0304
GJA3,0.43,0.0305
AGAP11,-0.38,0.0305
RHOA,0.11,0.0305
CYP2A7,-1.25,0.0305
KITLG,-0.39,0.0305
TXLNG,0.4,0.0306
LPP,-0.27,0.0306
TMEM126A,0.17,0.0306
FHIP1A,-0.56,0.0306
RPP38,0.12,0.0307
GFPT1,-0.19,0.0307
PM20D1,-0.33,0.0307
AADACL3,-0.1,0.0307
SLC33A1,-0.18,0.0307
TMEM204,-0.34,0.0307
NAXD,-0.21,0.0307
PRELID1,0.2,0.0307
GTF2E2,0.23,0.0307
ALOX12P2,-0.62,0.0308
COL6A4P2,-0.29,0.0308
STRBP,0.18,0.0308
CSKMT,0.32,0.0308
FLT4,-0.31,0.0309
NRAP,-0.47,0.0309
LINC01512,-0.48,0.031
SF3B6,0.14,0.031
MYO1F,0.31,0.031
ZNF284,0.38,0.0311
MYH4,-1.32,0.0311
MCCD1,0.92,0.0311
SERINC2,-0.37,0.0311
DNAH11,-0.68,0.0311
LILRB1,0.46,0.0312
LHX8,-0.17,0.0312
SPDYE1,-0.27,0.0312
KCTD14,0.5,0.0312
PTGER1,-0.55,0.0313
SLC44A3,0.49,0.0313
ACSM2A,-0.79,0.0313
TDP1,0.18,0.0313
CD300C,0.41,0.0313
SMOX,0.48,0.0313
HARS1,0.15,0.0314
HNRNPLL,0.12,0.0314
KDM4A,-0.17,0.0314
SIK2,-0.29,0.0314
ASB14,0.23,0.0315
ARID3B,0.29,0.0315
C12ORF76,0.26,0.0315
GNMT,-0.88,0.0315
SBK1,-0.51,0.0315
UGT1A6,0.64,0.0315
FAM86C2P,0.2,0.0316
COA4,0.17,0.0316
PLEKHA6,-0.24,0.0316
PELI3,-0.3,0.0316
MAGEB6,-0.28,0.0316
TMED8,0.17,0.0316
C2ORF78,0.34,0.0316
PSD2,-0.39,0.0317
SYCE3,-0.47,0.0317
LOXL1,-0.65,0.0317
APOE,-0.43,0.0317
PGBD5,-0.51,0.0317
ZNF862,-0.28,0.0318
DNAJB11,-0.17,0.0318
QRICH1,0.1,0.0318
UQCRB,0.23,0.0318
M6PR,0.17,0.0318
TOR1AIP1,-0.21,0.0318
TNIK,-0.53,0.0318
EPC2,0.18,0.0319
DMAC2,0.12,0.0319
NLRP5,-0.12,0.0319
IFNLR1,-0.57,0.0319
CCDC13,-0.42,0.0319
TRAF4,0.2,0.0319
MATR3,0.12,0.032
DAZAP1,0.14,0.032
KCTD19,0.24,0.032
MED6,0.13,0.032
VWA8,-0.28,0.032
PODXL,-0.37,0.032
PCK2,-0.51,0.032
BAHCC1,-0.34,0.0321
COLCA2,0.54,0.0321
MSRB1,-0.24,0.0321
SRC,0.44,0.0321
ANKAR,0.22,0.0321
CALHM6,0.49,0.0321
AP1G1,-0.14,0.0321
NELFB,0.14,0.0322
NMNAT1,-0.22,0.0322
LDAH,0.18,0.0322
MTMR4,-0.22,0.0322
CATSPER2P1,-0.23,0.0322
TMIE,-0.53,0.0322
EXOC3L1,-0.25,0.0323
HBBP1,-0.05,0.0323
MAP10,-0.45,0.0323
NME5,0.59,0.0323
ACAA2,-0.31,0.0323
LINC00899,-0.37,0.0324
SPI1,0.36,0.0324
DCTN6,0.21,0.0324
ITGB2,0.38,0.0324
GGA1,0.17,0.0324
CLCC1,-0.15,0.0324
C9ORF135,0.27,0.0325
PLXNB2,-0.24,0.0325
AP3M1,0.14,0.0325
BMP8A,-0.47,0.0325
MNAT1,0.15,0.0325
C10ORF67,-0.24,0.0325
FFAR4,-0.39,0.0325
OR10AD1,-0.08,0.0325
ANPEP,-0.39,0.0326
IGLL1,-0.15,0.0326
APEX1,0.13,0.0326
EPHA3,-0.66,0.0326
MCM4,0.34,0.0326
LILRA1,0.42,0.0326
SLC22A16,0.29,0.0328
DDX46,0.12,0.0328
CYP24A1,0.52,0.0328
DTD1,0.32,0.0328
MCRIP2,-0.28,0.0328
HTN3,-0.07,0.0328
ESPN,-0.51,0.0329
SH2D6,-0.34,0.0329
ITFG1,-0.23,0.0329
FZD10,-0.5,0.0329
SLC66A1,-0.2,0.0329
PNLDC1,0.51,0.0329
TRPV2,0.38,0.0329
COG7,-0.15,0.0329
WIPF3,0.64,0.0329
NHLRC1,-0.33,0.033
MYCL,-0.37,0.033
HAND2,-0.8,0.033
HOOK3,-0.29,0.033
MFAP4,-0.93,0.033
ACAP3,-0.21,0.033
ZYG11B,-0.22,0.033
BCL2L12,0.25,0.0331
ITM2C,0.4,0.0331
MRPL30,0.1,0.0331
BDH2,-0.28,0.0332
NCF1B,0.43,0.0332
WASF1,0.36,0.0332
NUP153,0.23,0.0332
KTI12,0.15,0.0332
SPDYA,0.24,0.0333
ALG13,-0.17,0.0333
ABLIM3,0.29,0.0333
FAM161A,0.29,0.0333
GJD3,-0.39,0.0333
CEP44,-0.18,0.0333
ATAD2,0.35,0.0334
NRXN2,-0.73,0.0334
TNKS1BP1,-0.2,0.0334
PLXNB3,-0.74,0.0335
ZNF767P,-0.22,0.0335
AHCYL2,-0.23,0.0335
ABCB4,-0.6,0.0335
PRMT5,0.15,0.0335
TMEM191A,-0.49,0.0336
PARVA,-0.24,0.0336
COPS7A,0.14,0.0336
CCNB1,0.46,0.0337
GLUD1,0.36,0.0338
NCF1C,0.52,0.0338
SYS1,0.14,0.0338
STK24,0.19,0.0338
PDILT,-0.17,0.0339
RGS7BP,-0.56,0.0339
ALDH1A1,0.41,0.034
LCE3E,-0.04,0.034
COL14A1,-0.68,0.034
DNAH1,-0.38,0.034
ANXA2P3,0.36,0.034
GMPR,-0.53,0.034
GLMN,0.24,0.0341
MRGPRX4,-0.09,0.0341
FIGNL2,0.59,0.0341
AEBP1,-0.68,0.0341
SFT2D1,0.23,0.0342
HHATL,-0.3,0.0342
KIF5B,-0.17,0.0342
BMS1P4,-0.3,0.0342
FYTTD1,-0.15,0.0342
MORC2,0.14,0.0343
VAMP7,-0.19,0.0343
DPAGT1,0.15,0.0343
NPLOC4,-0.15,0.0344
KDM2A,-0.14,0.0344
PLXNA4,-0.64,0.0344
ICMT,-0.17,0.0345
COX8A,-0.17,0.0345
DOCK6,-0.16,0.0345
GTF3A,0.21,0.0345
THAP7,-0.17,0.0345
YDJC,0.22,0.0346
ST3GAL5,-0.28,0.0346
LAMC3,-0.68,0.0346
TSPAN8,0.69,0.0346
RPUSD3,0.18,0.0346
PODN,-0.73,0.0347
NBR2,-0.23,0.0347
H6PD,-0.29,0.0347
IL17F,0.22,0.0347
RUNX1,-0.38,0.0348
IER5L,0.43,0.0348
LARP6,-0.6,0.0349
PCSK7,-0.14,0.0349
ZNF876P,-0.33,0.0349
RAB33B,-0.21,0.035
NPIPB13,-0.54,0.035
B3GNT4,-0.4,0.035
SLC10A7,-0.19,0.035
RGL3,-0.4,0.0351
MED22,0.19,0.0351
GUCA2A,0.74,0.0351
LINC00488,0.67,0.0351
ARMC5,-0.28,0.0351
TMEM40,0.66,0.0352
PIGA,-0.19,0.0352
ASB15,-0.24,0.0352
PPM1L,-0.42,0.0353
FAT4,-0.54,0.0353
LGMN,0.21,0.0353
KCNQ1DN,-0.04,0.0353
ACVRL1,-0.22,0.0353
DAPP1,0.42,0.0353
OSBPL9,-0.22,0.0354
XIST,-1.42,0.0354
CYBB,0.46,0.0355
BTF3L4,0.17,0.0355
GHSR,-0.07,0.0355
CCL27,-0.13,0.0355
SOGA1,-0.3,0.0356
PRELID2,0.31,0.0356
ADRA1B,-0.53,0.0357
NRXN3,-0.69,0.0357
PTMA,0.14,0.0357
C1RL-AS1,-0.32,0.0357
ANXA2,0.3,0.0357
BCAP29,-0.13,0.0358
DEPP1,0.39,0.0358
SOX18,-0.29,0.0358
TATDN3,-0.17,0.0359
PROK1,-0.49,0.0359
HECTD4,-0.19,0.036
FAM43B,-0.62,0.036
FGF11,-0.49,0.0361
CARMN,-0.36,0.0361
TOLLIP,-0.17,0.0361
PELP1,0.21,0.0362
AKR1C3,0.34,0.0362
ANTXR1,-0.53,0.0362
ACP1,0.12,0.0362
CD180,0.39,0.0363
SDHAP2,-0.2,0.0363
FKBP2,-0.22,0.0364
TPTE2P3,-0.23,0.0364
STAG3L3,-0.21,0.0364
ZNF785,-0.21,0.0364
GSKIP,-0.22,0.0365
ACP6,0.23,0.0365
GCSH,0.34,0.0365
TMEFF2,-0.18,0.0365
WDR25,-0.18,0.0366
APOA5,-0.83,0.0367
CSAG3,-0.87,0.0367
CCDC183,0.59,0.0367
PPARGC1A,-0.73,0.0367
ITPK1-AS1,-0.11,0.0367
RAPGEF2,-0.26,0.0368
SRARP,0.91,0.0368
PHLDB3,-0.22,0.0368
GLRA3,-0.13,0.0368
CEP126,0.48,0.0368
ADH5,0.17,0.0369
HAR1B,-0.31,0.037
ALDH9A1,-0.21,0.0371
TRIP10,0.3,0.0371
LNPK,-0.21,0.0372
CASP5,0.36,0.0372
CDC42SE2,0.18,0.0373
POLL,0.16,0.0373
C17ORF77,-0.05,0.0373
LIN7C,-0.15,0.0374
TRIM15,0.55,0.0374
KLF16,0.19,0.0375
ATP11C,-0.31,0.0375
ATXN10,0.13,0.0375
RALA,0.13,0.0375
PAIP1,0.12,0.0375
HPN-AS1,-0.39,0.0376
SNORA64,-0.04,0.0376
AOAH,0.45,0.0376
SNX30,0.23,0.0376
TMEM63A,-0.23,0.0376
KLF4,0.49,0.0376
MYO1A,0.77,0.0377
SFPQ,0.16,0.0377
P3H3,-0.62,0.0377
AKR7A3,-0.88,0.0377
LYZL2,0.34,0.0378
TCFL5,-0.18,0.0378
ROBO2,0.87,0.0378
SMU1,0.11,0.0378
KAT8,-0.17,0.0378
RAB5B,-0.1,0.0379
AMPD2,0.16,0.0379
CRY1,-0.23,0.0379
SRSF12,0.52,0.038
SCYL1,-0.12,0.038
FMR1,-0.21,0.038
PCDHB19P,-0.32,0.0381
IQCC,-0.27,0.0381
TSPAN1,-0.49,0.0381
ZNF239,0.65,0.0381
DIPK2B,-0.22,0.0381
HOXA7,-0.45,0.0382
AMHR2,0.46,0.0382
AGO3,-0.25,0.0382
LRR1,-0.18,0.0382
FOXA1,-0.36,0.0382
DPYD,-0.42,0.0383
ISLR,-0.79,0.0383
CRYBG3,-0.5,0.0383
APOL3,-0.36,0.0383
DKK4,0.93,0.0383
EPB41L2,0.31,0.0383
SHISA9,0.69,0.0384
TRPM1,-0.26,0.0384
STAU1,0.14,0.0384
MAD2L1BP,0.14,0.0384
NANOS2,-0.07,0.0385
NUP93,0.2,0.0385
JARID2,0.2,0.0385
ECHS1,-0.28,0.0386
MON2,-0.17,0.0386
TAT,-1.02,0.0386
PRH2,-0.48,0.0386
KIAA0895,0.32,0.0386
DYNAP,-0.1,0.0386
PAXIP1,0.18,0.0387
ZNF69,0.33,0.0387
JUN,0.31,0.0387
CYP2J2,0.42,0.0387
NFKB1,0.18,0.0387
GUCY1B1,-0.37,0.0388
ABCF1,0.13,0.0388
ESRRA,-0.16,0.0388
ZDHHC9,0.17,0.0389
ZNF429,-0.21,0.0389
SUPT20HL1,-0.06,0.039
NEPRO,0.12,0.039
BAIAP2,-0.38,0.039
CCDC93,0.18,0.039
BCS1L,0.15,0.039
ALG1L2,0.12,0.039
OSBPL11,-0.25,0.039
ANKS1A,0.19,0.0391
TEX15,0.61,0.0391
LMBRD2,-0.31,0.0391
STUB1,-0.18,0.0392
CDH15,-0.76,0.0392
LRFN4,-0.38,0.0392
HINT1,0.17,0.0392
CRELD2,-0.25,0.0392
TANK,0.16,0.0393
CLIC5,-0.48,0.0393
TENT4B,-0.18,0.0393
HSP90AB2P,0.35,0.0393
SNRNP25,-0.2,0.0393
FER1L5,0.37,0.0394
SELENON,-0.19,0.0394
RTP4,-0.36,0.0394
FAIM2,-0.49,0.0395
MMP12,0.88,0.0395
SMIM12,-0.2,0.0395
CACNB3,-0.32,0.0396
HPSE,0.48,0.0397
GSTA5,-0.1,0.0397
GABPB2,-0.27,0.0397
QTRT1,0.2,0.0398
DENND4A,0.23,0.0398
GRP,-0.29,0.0398
LUZP2,-0.53,0.0398
GSTA2,-0.95,0.0398
GNE,-0.34,0.0399
CLIP4,0.54,0.0399
ANKRD13A,-0.17,0.0399
KCNJ10,0.64,0.0399
SVEP1,-0.75,0.0399
GAS2L1,-0.2,0.0399
ZC3H6,-0.22,0.04
NOM1,0.14,0.04
ANXA2P1,0.3,0.04
SLC16A13,-0.39,0.04
HYI,-0.25,0.04
MIA3,-0.22,0.04
HESX1,0.29,0.04
ICAM5,-0.51,0.04
ZSCAN12P1,-0.38,0.0401
VPS53,-0.14,0.0401
PABPN1L,-0.08,0.0401
DNAJC27,-0.2,0.0401
CSAD,-0.33,0.0401
COPS4,0.12,0.0401
DNAH14,0.23,0.0402
TMEM33,-0.16,0.0402
ABCB9,-0.32,0.0402
DIS3L,-0.18,0.0402
TEX33,-0.09,0.0402
PTPN14,0.39,0.0403
SDHC,-0.16,0.0403
FAM118B,0.16,0.0403
KCNN3,-0.38,0.0404
PRKY,0.7,0.0404
JMJD8,-0.18,0.0404
RAMP1,-0.57,0.0404
CPSF6,0.15,0.0404
HLA-B,-0.38,0.0404
SNHG7,0.32,0.0405
SCG3,0.56,0.0405
MXRA8,-0.51,0.0405
WDR70,0.13,0.0405
AIMP2,0.18,0.0406
DNAH5,0.59,0.0406
TIPARP,0.24,0.0406
ADM2,-0.45,0.0407
MAPK8IP3,-0.26,0.0407
CKAP2,0.29,0.0407
ARVCF,0.24,0.0409
IFNGR2,0.23,0.0409
CAPNS2,-0.13,0.0409
MON1A,0.15,0.0409
DPEP2,0.33,0.0409
MESP1,-0.36,0.0409
ECD,0.11,0.041
DCLRE1B,0.22,0.041
ZNF365,-0.31,0.041
CD82,-0.31,0.041
C22ORF15,-0.28,0.041
AGRP,-0.3,0.041
PPP4R3A,-0.13,0.041
STK17A,0.23,0.041
DIPK1A,0.28,0.041
RDH16,-0.82,0.041
HFE,-0.31,0.0411
PRODH2,0.56,0.0411
TEKT2,0.46,0.0411
TIMM8B,0.19,0.0411
PYGM,-0.32,0.0411
KANK3,-0.27,0.0412
CLEC4A,0.3,0.0412
SNORC,0.79,0.0412
H2AZ2,-0.12,0.0412
S100A10,0.32,0.0413
TRAF3IP1,0.12,0.0413
CEBPG,-0.17,0.0413
MYD88,0.18,0.0413
SNORA53,0.21,0.0413
GALC,-0.42,0.0414
ISY1,0.1,0.0414
MOSMO,-0.2,0.0414
CRIP2,-0.31,0.0414
LINC02694,0.19,0.0414
GMPS,0.17,0.0414
SRRM2,-0.17,0.0415
ATG2B,-0.21,0.0415
ST3GAL6,-0.43,0.0415
YIPF1,-0.15,0.0415
CROCCP3,-0.25,0.0416
SPNS3,-0.42,0.0416
MTRR,0.17,0.0416
HMX1,-0.19,0.0416
MYF6,0.36,0.0417
TTI2,0.21,0.0417
GUK1,-0.23,0.0417
SH3D21,0.33,0.0417
TBX4,0.79,0.0418
LPIN1,-0.33,0.0418
DISP2,-0.51,0.0418
PRSS27,-0.35,0.0419
TTC39B,-0.43,0.0419
KCNB1,-0.65,0.0419
ELAC2,0.13,0.042
SNHG32,0.3,0.042
CCDC71,0.14,0.0421
CLCN7,-0.19,0.0421
TOR2A,-0.14,0.0421
SPRYD7,0.21,0.0421
BPHL,-0.3,0.0421
DNMBP,-0.21,0.0421
FBXO8,-0.21,0.0421
PSMC3,-0.15,0.0422
CYB5R1,-0.18,0.0422
GAK,-0.12,0.0422
TMEM120B,0.18,0.0422
IDS,-0.25,0.0422
INTS14,0.09,0.0422
CR1,0.53,0.0422
ZNF74,0.19,0.0422
LIN28B,1.1,0.0423
BST2,-0.56,0.0423
ABT1,0.14,0.0423
UBE2L3,0.12,0.0423
ACP7,-0.2,0.0424
TP73-AS1,-0.2,0.0424
PEX16,-0.2,0.0425
SOX8,-0.43,0.0425
ADGRG4,-0.09,0.0426
CTSE,0.84,0.0426
CXADRP3,-0.23,0.0426
CHRDL2,-0.53,0.0426
CEACAM16,-0.26,0.0427
CAPZA1,0.17,0.0428
POFUT1,-0.17,0.0428
MGME1,0.16,0.0428
LYZL1,0.15,0.0429
TDRP,0.45,0.0429
GPRC5D,0.37,0.0429
NIT1,-0.17,0.0429
C3ORF49,-0.11,0.0429
CEBPA-DT,-0.34,0.0429
RB1CC1,0.25,0.043
CHMP5,0.12,0.043
KDM3A,0.16,0.043
QPCTL,0.29,0.043
GGNBP1,-0.05,0.0431
GRK3,0.42,0.0431
RAB35,0.12,0.0431
POPDC3,0.83,0.0431
CAVIN4,-0.27,0.0431
HTR5A,-0.11,0.0432
COX17,-0.17,0.0432
LPCAT3,0.25,0.0432
GPR20,-0.36,0.0433
TTC14,-0.2,0.0433
FOXJ2,-0.21,0.0433
MEOX1,-0.54,0.0433
FOXI2,-0.26,0.0434
POF1B,0.89,0.0434
THOC1,0.18,0.0434
SV2B,0.64,0.0434
TPST2,-0.2,0.0434
MAP2K1,-0.15,0.0434
PGAM4,0.22,0.0435
SORCS1,0.66,0.0435
ZNF395,0.24,0.0435
TLR5,-0.37,0.0435
DTX1,-0.7,0.0436
MTERF4,0.13,0.0436
ODAD3,-0.34,0.0436
PLEKHB2,0.21,0.0437
UBA52,0.22,0.0437
LILRA2,0.37,0.0437
EFCAB14,-0.15,0.0438
CMTM8,0.27,0.0438
CRYBA2,-0.27,0.0438
PLEKHG3,0.19,0.0438
FAM76B,-0.2,0.0439
HMG20B,-0.14,0.0439
POLD4,-0.24,0.0439
TTBK2,-0.3,0.044
NUP205,0.19,0.044
SPG11,-0.16,0.044
AGO4,-0.24,0.044
C9ORF50,0.23,0.0441
LINS1,-0.14,0.0441
ALKBH1,0.11,0.0441
ABHD14A,-0.18,0.0441
SORBS2,-0.38,0.0442
GLIS2,-0.47,0.0442
TMEM80,-0.19,0.0442
SLC38A9,0.17,0.0443
HORMAD2,-0.61,0.0443
POM121L1P,-0.22,0.0445
SNORA50C,0.27,0.0445
OSBPL2,-0.1,0.0445
FGD2,0.35,0.0446
CYC1,0.24,0.0446
HSPB7,-0.6,0.0446
BLVRB,-0.31,0.0446
DGKE,-0.38,0.0446
XRCC4,0.25,0.0447
EDN1,0.48,0.0447
PAPOLA,0.12,0.0447
WDR37,-0.16,0.0447
TMEM132E,-0.56,0.0448
TMEM19,-0.16,0.0448
FAXDC2,-0.43,0.0448
FGFR2,-1.11,0.0448
IPO13,-0.16,0.0448
TMED7-TICAM2,-0.74,0.0448
MTX3,0.16,0.0449
SLCO1C1,-0.32,0.0449
CD86,0.36,0.0449
P2RX5,0.4,0.0449
PNRC1,0.23,0.0449
ECE1,-0.19,0.0449
CNTF,-0.32,0.045
LANCL2,-0.14,0.045
PDGFA,-0.45,0.0452
MB,-0.61,0.0453
NTN5,-0.32,0.0453
REPS1,0.15,0.0453
LTBP1,-0.49,0.0454
SMARCB1,0.16,0.0454
ALOX12B,-0.15,0.0454
SLC7A9,0.43,0.0455
LAIR2,0.47,0.0455
PUS3,0.13,0.0455
TLNRD1,-0.21,0.0455
PEX5L,-0.21,0.0456
SULF1,-0.64,0.0456
ZRANB1,-0.2,0.0456
SPRYD4,-0.25,0.0456
SDF2L1,-0.26,0.0456
CCNL2,-0.23,0.0456
FBXO41,0.49,0.0457
RPL3L,-0.08,0.0457
AKAP9,-0.24,0.0457
DOK5,-0.43,0.0457
CCDC14,-0.23,0.0458
CNTFR,-0.91,0.0458
OTOF,0.45,0.0458
CCL4,0.44,0.0459
LYRM9,-0.24,0.0459
OXNAD1,-0.19,0.0459
SLAMF9,-0.54,0.0459
STOM,0.24,0.0459
EN2,-0.51,0.046
LINC00515,-0.21,0.046
PRTN3,-0.31,0.046
CIBAR1P2,-0.03,0.046
SNX3,0.16,0.0461
MRPS33,0.17,0.0461
BLMH,0.41,0.0461
TST,-0.31,0.0462
GOLGB1,-0.12,0.0462
COX4I1,-0.22,0.0462
ARPC2,0.12,0.0463
MANF,-0.24,0.0463
SLC6A20,-0.47,0.0463
AADACL4,-0.07,0.0464
GSDME,0.49,0.0464
ANKRD19P,0.32,0.0464
FAM187B,-0.14,0.0465
MYH13,-0.45,0.0465
CHD8,-0.13,0.0465
MAP4,0.14,0.0465
IP6K3,-0.88,0.0465
SLAIN2,-0.15,0.0465
EPOR,-0.24,0.0466
TRAF5,0.3,0.0466
ATPSCKMT,-0.15,0.0466
METTL11B,-0.13,0.0466
ZNF384,0.15,0.0466
GNG4,1.11,0.0467
UBE2V1,0.12,0.0467
TLE6,-0.53,0.0467
NDRG3,0.22,0.0468
CSRP2,-0.35,0.0468
MAPK14,0.13,0.0468
MAGI2,-0.35,0.0469
IL17REL,0.32,0.0469
OR1J2,0.21,0.0469
LINC00698,0.26,0.0469
DYRK1A,-0.16,0.0469
PER3P1,-0.03,0.047
NOTCH3,-0.37,0.047
ZNF213,-0.26,0.047
HEATR3,0.17,0.047
NYNRIN,-0.44,0.047
NAT16,-0.36,0.0471
PCSK4,-0.34,0.0471
PDCD6,0.13,0.0471
LIN7A,0.3,0.0471
PADI3,-0.47,0.0471
TREM1,0.62,0.0472
FJX1,0.37,0.0472
SLC24A5,0.46,0.0473
OSTF1,-0.15,0.0473
LCN2,0.94,0.0474
DNALI1,0.58,0.0474
MRTFA,0.13,0.0474
MIR99AHG,-0.44,0.0475
FRAS1,0.88,0.0475
ZSCAN31,0.36,0.0476
HOXA11,-0.5,0.0476
ENDOU,-0.22,0.0476
LDLRAD2,-0.3,0.0476
CCDC107,-0.21,0.0476
MT1E,0.82,0.0477
LRRC3,-0.54,0.0477
HEBP2,-0.21,0.0477
FAM98A,0.13,0.0477
RAB42,0.43,0.0477
PRKACA,-0.2,0.0477
DACT1,-0.53,0.0477
PDXDC2P,-0.24,0.0477
KDM4B,-0.18,0.0477
AAK1,-0.2,0.0478
TNFAIP8L2,0.32,0.0479
SPEN,-0.18,0.0479
CALD1,-0.19,0.0479
FBXW10,0.7,0.0479
RB1,0.25,0.0479
C12ORF4,0.14,0.0479
PPP4R1L,-0.34,0.0479
NAA35,0.16,0.048
CYLD,-0.17,0.048
CHRM3,-0.56,0.048
CDR2,-0.2,0.0481
SH2D4B,-0.24,0.0481
MFSD2B,0.38,0.0481
GRIA4,-0.19,0.0481
TESMIN,0.4,0.0482
HDAC3,0.12,0.0482
SRRT,0.12,0.0482
ARSA,-0.26,0.0484
ELN,-0.65,0.0484
POLDIP3,0.13,0.0484
RAB11A,0.11,0.0484
CSF1R,0.34,0.0485
SLC38A5,0.58,0.0485
GCC2,0.21,0.0485
PCDHGB3,-0.42,0.0485
