Gene	Log2FoldChange	pvalue
ASPRV1	-0.34	5.15E-04
C20ORF27	0.4	5.17E-04
SH2B1	-0.26	5.18E-04
CASTOR3	-0.53	5.19E-04
CCDC9B	-0.91	5.21E-04
SRMS	-0.3	5.22E-04
RBPMS	0.39	5.22E-04
PPP1R3E	-0.45	5.25E-04
CAMK2N2	-0.96	5.26E-04
INPP5F	0.35	5.28E-04
SCN4A	-0.76	5.29E-04
IL1F10	-0.06	5.31E-04
SYNPO	-0.5	5.32E-04
CORO1C	0.29	5.36E-04
CD99L2	-0.41	5.36E-04
SDF4	-0.26	5.37E-04
SLC25A6	0.37	5.41E-04
GLCCI1	-0.5	5.41E-04
SMS	0.26	5.42E-04
MRPL3	0.2	5.43E-04
GOLGA5	-0.23	5.43E-04
PHACTR4	-0.26	5.43E-04
SPATA24	0.45	5.44E-04
FNIP2	-0.8	5.49E-04
FERMT1	1.2	5.49E-04
CES5A	-1.2	5.50E-04
HDAC2	0.35	5.56E-04
PLCH1	0.87	5.58E-04
PTCD3	0.23	5.59E-04
DBP	-0.46	5.61E-04
NSMCE2	0.43	5.61E-04
ERLIN1	0.38	5.61E-04
NAF1	0.27	5.62E-04
ZNF768	-0.24	5.63E-04
CELSR2	-0.65	5.64E-04
SLC9A3	-1.03	5.64E-04
TLE5	-0.33	5.67E-04
PRKAG2	-0.53	5.68E-04
MRRF	0.24	5.70E-04
ZBTB11-AS1	0.26	5.70E-04
GPN1	0.19	5.78E-04
ATG4A	-0.31	5.82E-04
ANKRD46	0.39	5.85E-04
CWC27	0.27	5.87E-04
RRP1	0.34	5.89E-04
DCAF13P3	0.48	5.91E-04
CXCR2P1	0.96	5.91E-04
GALNT9	-0.44	5.92E-04
XRN1	-0.32	5.92E-04
RGS20	0.75	5.96E-04
TAF2	0.39	6.03E-04
XDH	-1.09	6.10E-04
SYNJ2BP	-0.23	6.10E-04
ZBTB10	0.47	6.12E-04
WDTC1	-0.3	6.12E-04
STPG3	-0.73	6.16E-04
AKT1	-0.27	6.17E-04
SLC16A12	1.19	6.22E-04
ITPK1	-0.42	6.28E-04
GAST	-0.57	6.29E-04
PARD3	0.3	6.31E-04
PCID2	0.29	6.31E-04
CORT	-0.58	6.36E-04
PPIL6	0.56	6.40E-04
SI	-0.37	6.44E-04
RFFL	0.36	6.45E-04
PEX5	0.25	6.46E-04
POLR2H	0.29	6.48E-04
MINPP1	0.32	6.51E-04
G6PD	0.81	6.55E-04
MRPL42	0.22	6.55E-04
BSCL2	-0.41	6.57E-04
PPP1R1A	-1.61	6.60E-04
HSPA8	0.4	6.63E-04
RPL39	0.52	6.65E-04
EWSR1	0.18	6.67E-04
RTP3	-1.49	6.67E-04
NONO	0.25	6.68E-04
HIRIP3	-0.35	6.68E-04
MTOR	-0.34	6.69E-04
PPL	-0.85	6.71E-04
C16ORF72	-0.19	6.72E-04
RPS16	0.43	6.73E-04
TMEM68	0.31	6.74E-04
B3GNT9	-0.6	6.74E-04
TBRG4	0.22	6.78E-04
CCDC138	0.56	6.79E-04
SLC6A1	-1.12	6.79E-04
TBC1D3C	0.75	6.81E-04
ADGRG2	-1.29	6.83E-04
PRSS36	-0.53	6.84E-04
ACBD5	-0.35	6.84E-04
STRC	-0.72	6.86E-04
MPHOSPH10	0.21	6.88E-04
DDX1	0.18	6.88E-04
FBXO40	-0.42	6.90E-04
ARSF	-1.12	6.90E-04
MUL1	-0.25	6.91E-04
SCARB2	-0.28	6.94E-04
KRTAP10-4	-0.23	6.94E-04
ITPA	0.35	6.95E-04
CDC123	0.27	6.96E-04
GFRA4	-0.08	6.97E-04
SLC22A25	-1	6.98E-04
GTF2F2	0.26	6.98E-04
EVI5L	-0.3	7.01E-04
NEURL1B	-0.45	7.11E-04
NME2	0.38	7.17E-04
TAOK2	-0.23	7.17E-04
RRP8	0.23	7.18E-04
RPL18	0.42	7.19E-04
DIXDC1	0.45	7.25E-04
ARHGAP39	0.55	7.27E-04
CDH24	-0.56	7.29E-04
MAFF	0.55	7.31E-04
ROPN1	-0.54	7.35E-04
WDR77	0.31	7.36E-04
ARNT	-0.29	7.45E-04
ZFYVE28	-0.57	7.47E-04
NDRG2	-0.5	7.47E-04
COX7B	-0.3	7.50E-04
GMCL2	-0.56	7.50E-04
TTBK1	-0.94	7.52E-04
UBA2	0.29	7.53E-04
SSBP1	0.24	7.60E-04
IDH2	-0.39	7.61E-04
NR3C2	-0.7	7.64E-04
SSUH2	1.44	7.68E-04
EIF3L	0.3	7.70E-04
ZNF706	0.33	7.72E-04
PMS1	0.25	7.75E-04
DDX55	0.25	7.76E-04
EIF2B4	0.24	7.80E-04
G3BP1	0.21	7.83E-04
RBP2	1.47	7.83E-04
C18ORF32	-0.26	7.84E-04
EXOSC4	0.48	7.91E-04
OPN5	-0.09	7.93E-04
PRKAA2	0.97	7.94E-04
OS9	-0.23	8.06E-04
PPIA	0.26	8.08E-04
DIRC1	-0.05	8.09E-04
ACSM1	-1.66	8.13E-04
OGDHL	-1.48	8.15E-04
TRIM16	0.91	8.15E-04
NBPF11	-0.44	8.19E-04
POLG2	0.29	8.22E-04
ZNF441	-0.33	8.24E-04
MRPS2	0.25	8.29E-04
GJA10	-0.67	8.38E-04
SMARCD3	-0.69	8.41E-04
C19ORF48	0.48	8.47E-04
PRNP	0.54	8.56E-04
CCNB1IP1	0.54	8.56E-04
RPS19	0.45	8.58E-04
ZDHHC5	-0.17	8.59E-04
POLR2D	0.24	8.64E-04
NDUFAF1	-0.3	8.66E-04
PRDM6	-0.64	8.67E-04
FOXK1	0.36	8.74E-04
IRAK2	0.39	8.75E-04
ARL5A	0.22	8.75E-04
RRM2B	0.33	8.76E-04
NEK3	0.53	8.76E-04
CDA	-0.97	8.77E-04
RTN4RL1	-1	8.78E-04
GGTLC2	0.95	8.79E-04
DGKD	0.33	8.80E-04
FZR1	-0.25	8.88E-04
TXNRD1	0.67	8.94E-04
HPDL	0.92	8.95E-04
ELANE	-0.38	8.95E-04
FTL	0.56	8.97E-04
SYVN1	-0.24	8.98E-04
ST6GALNAC2	-0.87	8.99E-04
MCM3AP-AS1	0.52	9.00E-04
FAM214A	-0.36	9.02E-04
UGP2	-0.47	9.06E-04
NUP62	0.27	9.08E-04
PPM1B	-0.3	9.19E-04
SLC26A5	0.36	9.20E-04
PRPS2	0.41	9.26E-04
SNRPN	0.71	9.27E-04
CFAP299	-0.1	9.31E-04
SLC26A7	0.59	9.35E-04
DHX57	0.27	9.42E-04
REXO4	0.28	9.44E-04
INTS8	0.35	9.48E-04
SLC46A3	-0.92	9.57E-04
CIAO1	0.13	9.67E-04
DNTTIP2	0.25	9.68E-04
LRRC2	-0.88	9.69E-04
QRFPR	-0.55	9.76E-04
EBF3	-0.62	9.78E-04
CT47A6	-0.23	9.81E-04
CCDC168	-0.5	9.90E-04
FGF21	-1.64	9.91E-04
AAMP	0.18	9.93E-04
IDUA	-0.49	9.97E-04
ZCCHC14	-0.31	1.00E-03
PCSK6	-0.57	1.01E-03
SLC22A1	-1.8	1.01E-03
PRRT4	-0.7	1.01E-03
SPATA1	-0.47	1.01E-03
DYNC1LI1	0.19	1.02E-03
FAM216A	0.51	1.02E-03
RPL36A	0.69	1.03E-03
HEY2	-0.63	1.03E-03
TERF1	0.26	1.04E-03
KHNYN	-0.37	1.04E-03
EBF1	-0.5	1.04E-03
DCBLD1	-0.32	1.05E-03
ADAT2	0.46	1.05E-03
SCP2	-0.52	1.05E-03
SYT2	-0.63	1.06E-03
ISLR2	-0.75	1.06E-03
ACACB	-0.59	1.07E-03
MYH8	-0.4	1.07E-03
GAS2	0.53	1.07E-03
BRICD5	-0.52	1.07E-03
PPARG	0.51	1.07E-03
CREB5	0.73	1.10E-03
PRPF40A	0.19	1.10E-03
RPL23AP82	0.34	1.11E-03
MROH7	-0.85	1.11E-03
RPL38	0.41	1.11E-03
LSM2	0.33	1.11E-03
PHOSPHO2	0.36	1.11E-03
THAP5	-0.23	1.13E-03
MARF1	-0.25	1.13E-03
UBE2R2	0.18	1.14E-03
C1QTNF4	-0.43	1.15E-03
JAGN1	0.26	1.16E-03
PDCD2	0.34	1.17E-03
METTL5	0.24	1.17E-03
JMJD6	0.28	1.17E-03
SEMA5A	-0.72	1.18E-03
SLC17A7	-0.56	1.18E-03
CBX4	-0.31	1.18E-03
ITGBL1	-1.28	1.18E-03
NEIL2	0.35	1.18E-03
GARNL3	-0.7	1.19E-03
PYGB	-0.37	1.19E-03
WFDC12	-0.2	1.19E-03
MRPL10	0.26	1.19E-03
SNX21	-0.3	1.19E-03
IL12A	0.62	1.19E-03
MS4A2	-0.69	1.19E-03
LAPTM4B	0.74	1.19E-03
SYT17	-0.88	1.19E-03
ASB1	0.3	1.20E-03
GPX2	1.13	1.20E-03
ING1	-0.28	1.20E-03
RBM23	-0.39	1.20E-03
RPL22	0.31	1.20E-03
MTARC2	-0.52	1.21E-03
LRRC15	-0.95	1.21E-03
ACTL6A	0.29	1.21E-03
STAMBPL1	0.63	1.21E-03
KTN1-AS1	0.39	1.21E-03
ACOT9	0.24	1.21E-03
PKD1	-0.28	1.21E-03
PER3	-0.53	1.22E-03
SRP54	-0.21	1.22E-03
HMX3	-0.24	1.22E-03
ORC4	0.21	1.22E-03
HOMER2	-0.9	1.22E-03
STAU2	0.29	1.23E-03
LINC01558	-0.77	1.23E-03
RPL31P11	0.44	1.24E-03
KIAA0319L	-0.23	1.24E-03
MAPKAPK5	0.18	1.24E-03
KSR1	0.43	1.24E-03
KIAA0895L	-0.42	1.24E-03
SLC51A	-1.4	1.25E-03
GPLD1	-1.17	1.27E-03
STRAP	0.22	1.27E-03
EFTUD2	0.23	1.27E-03
CDC42EP2	0.46	1.27E-03
FBLN7	-0.68	1.27E-03
ANTKMT	-0.38	1.28E-03
ATP4B	-0.15	1.28E-03
CDC26	0.3	1.29E-03
FAM13A-AS1	-0.48	1.29E-03
SCAMP1	0.25	1.30E-03
RNF130	-0.25	1.30E-03
TSC22D3	-0.74	1.30E-03
RIOK3	-0.24	1.30E-03
PDE6G	0.6	1.30E-03
VPS9D1	-0.35	1.31E-03
MRTO4	0.33	1.31E-03
SURF6	0.22	1.31E-03
COL4A3	-0.98	1.32E-03
TEFM	0.22	1.33E-03
RER1	-0.27	1.33E-03
CCDC69	-0.51	1.33E-03
COL6A5	-0.25	1.33E-03
PIGX	-0.23	1.33E-03
PIP4K2C	-0.24	1.34E-03
RPS29	0.39	1.35E-03
KLF6	0.49	1.35E-03
UBE2D1	0.29	1.36E-03
SRPRA	-0.24	1.36E-03
NUPR1	-0.56	1.36E-03
HMOX1	0.63	1.37E-03
SNX29P2	-0.69	1.38E-03
PGAP2	0.28	1.38E-03
ELMOD3	-0.22	1.38E-03
ZNF564	-0.21	1.38E-03
FGF2	0.91	1.39E-03
DIP2C	-0.76	1.39E-03
VAMP1	-0.39	1.39E-03
GRID1	-1.16	1.39E-03
TNFAIP3	0.55	1.39E-03
RNF187	-0.29	1.39E-03
FICD	-0.38	1.40E-03
ADGRE1	0.84	1.40E-03
KRTAP5-6	-0.55	1.40E-03
RABEP2	-0.34	1.40E-03
TAF1A	0.41	1.41E-03
MRPS23	0.3	1.41E-03
CABLES2	-0.37	1.42E-03
HNRNPU	0.16	1.42E-03
CSNK1A1P1	-0.38	1.42E-03
ABITRAM	0.25	1.42E-03
ALS2CL	-0.66	1.42E-03
FBXW8	0.24	1.43E-03
AKAP12	0.91	1.43E-03
KCNJ14	0.43	1.43E-03
SUGT1	0.28	1.44E-03
PDXDC1	-0.26	1.44E-03
TBC1D9B	-0.22	1.44E-03
OSBPL6	-0.77	1.44E-03
THADA	0.25	1.44E-03
NT5E	0.67	1.44E-03
ACTR6	0.25	1.45E-03
NFIL3	0.42	1.45E-03
TTLL11	0.3	1.46E-03
AHCY	0.4	1.46E-03
BOC	-0.51	1.46E-03
CAPN5	-0.59	1.47E-03
ARSB	0.4	1.47E-03
RFT1	0.21	1.47E-03
CCDC6	0.24	1.48E-03
POP1	0.35	1.48E-03
TOM1L2	-0.32	1.48E-03
ARFGEF1	0.26	1.48E-03
CHD9	-0.36	1.48E-03
RPL28	0.42	1.49E-03
AHR	0.46	1.49E-03
SEPTIN4	-0.4	1.50E-03
STK25	0.22	1.50E-03
ANAPC1	0.29	1.50E-03
APOOL	-0.44	1.52E-03
AASDHPPT	0.22	1.54E-03
PLA2G7	0.86	1.54E-03
PRDX4	0.31	1.54E-03
FBXO27	-0.85	1.54E-03
COPS5	0.25	1.55E-03
SAR1B	-0.35	1.55E-03
EIF4G3	-0.32	1.57E-03
ESR1	-1.09	1.57E-03
ERCC2	0.31	1.58E-03
NFU1	0.22	1.58E-03
HMGA1	0.57	1.58E-03
VSIG8	-0.28	1.58E-03
MAPK8IP1	-0.61	1.58E-03
SLC41A2	-0.64	1.60E-03
DHX9	0.22	1.60E-03
FGFR4	0.51	1.60E-03
EIF2S1	0.2	1.60E-03
ANKRD65	-1	1.61E-03
ZNF425	-0.56	1.62E-03
THSD4	-0.77	1.63E-03
APBA1	-0.75	1.63E-03
EGFR	-0.6	1.63E-03
PANK2	0.19	1.63E-03
GRWD1	0.21	1.65E-03
MNS1	-0.69	1.65E-03
CACNG2	-0.06	1.65E-03
ZNF436-AS1	-0.42	1.65E-03
ARHGAP33	-0.45	1.65E-03
TP73	-0.82	1.66E-03
LIPG	-0.85	1.67E-03
MYH2	-0.42	1.68E-03
PHYH	-0.55	1.68E-03
STEAP2	1.03	1.68E-03
MAP3K1	0.35	1.68E-03
PDE8A	-0.29	1.68E-03
RPS9	0.37	1.69E-03
KCNS3	-0.87	1.69E-03
ACO2	-0.25	1.69E-03
DENND2B	-0.45	1.70E-03
CCDC110	0.73	1.71E-03
CXCL17	1.28	1.71E-03
TRIM38	-0.37	1.71E-03
ATG16L2	-0.32	1.71E-03
CDK4	0.3	1.72E-03
EIF3C	0.76	1.73E-03
ZNF750	-0.36	1.73E-03
PRAMEF8	-1.01	1.73E-03
SSTR5-AS1	-1.32	1.74E-03
BAMBI	0.74	1.74E-03
ASCL1	-1.07	1.74E-03
DDI1	-0.07	1.74E-03
FASTKD2	0.16	1.75E-03
AK1	-0.38	1.75E-03
RAB27A	-0.42	1.75E-03
PYCR3	0.4	1.77E-03
PRODH	-1.38	1.77E-03
RPL7L1	0.23	1.78E-03
LRRC20	-0.38	1.78E-03
LINC00906	-0.34	1.79E-03
DHRS7	-0.44	1.79E-03
PHLPP2	-0.32	1.80E-03
ATP5IF1	-0.31	1.81E-03
NDUFA1	-0.31	1.81E-03
FLNB	0.24	1.81E-03
MYL12A	0.24	1.81E-03
SNRPG	0.25	1.82E-03
SSRP1	0.23	1.82E-03
ANKHD1-EIF4EBP3	0.28	1.83E-03
RAD21	0.32	1.83E-03
ZNF592	-0.16	1.83E-03
TMA16	0.23	1.83E-03
SUGT1P3	-0.45	1.84E-03
CCDC88A	0.35	1.84E-03
HOGA1	0.77	1.84E-03
ACTR3B	0.27	1.84E-03
ZNF467	-0.55	1.84E-03
NNT	-0.46	1.85E-03
PSPN	-0.34	1.85E-03
APBB3	-0.38	1.85E-03
ZBTB25	-0.3	1.85E-03
DTX4	-0.79	1.87E-03
ELFN1	-1.04	1.88E-03
C1ORF131	0.31	1.89E-03
TM4SF1	0.68	1.90E-03
RNF122	0.47	1.90E-03
TRNT1	0.25	1.91E-03
TUBB2B	0.89	1.91E-03
KLHL26	-0.48	1.91E-03
PPP1R1B	-0.93	1.92E-03
TUFT1	0.4	1.92E-03
DGCR6	-0.49	1.92E-03
KARS1	0.25	1.92E-03
NDRG1	0.63	1.93E-03
ZFYVE1	-0.23	1.94E-03
MRPS9	0.2	1.94E-03
AIFM1	-0.3	1.94E-03
C12ORF60	0.38	1.96E-03
OR52I1	-0.04	1.97E-03
NCAN	-0.49	1.98E-03
FAM216B	-0.22	1.98E-03
BICD2	0.26	1.98E-03
ST20	-0.4	1.99E-03
DSE	0.36	1.99E-03
ERCC3	0.17	2.00E-03
STOML1	-0.27	2.01E-03
CSNK1E	0.28	2.01E-03
LTA4H	0.22	2.01E-03
IRX6	-0.43	2.03E-03
ATG16L1	0.15	2.04E-03
STRIP2	-0.71	2.05E-03
PPM1G	0.19	2.05E-03
UBR5	0.32	2.05E-03
PABPC1P2	0.31	2.06E-03
ULK3	-0.26	2.07E-03
PERP	0.37	2.07E-03
MAPK4	-1.23	2.07E-03
KYNU	0.6	2.07E-03
SLC17A4	-0.94	2.07E-03
PLPPR2	-0.33	2.08E-03
SATB2-AS1	-0.09	2.08E-03
RPL41	0.31	2.09E-03
GDF5	-0.34	2.09E-03
RABEPK	0.42	2.10E-03
HNRNPA0	0.24	2.10E-03
NOA1	0.23	2.10E-03
PLCL2	-0.56	2.10E-03
CEP83-DT	-0.43	2.11E-03
LIMS2	-0.58	2.11E-03
NAV2-AS6	-0.66	2.12E-03
PRMT3	0.28	2.13E-03
AATF	0.25	2.14E-03
LCE3D	-0.11	2.14E-03
NHP2	0.33	2.14E-03
EPX	-0.21	2.14E-03
WDR48	0.2	2.15E-03
BTG2	0.55	2.15E-03
SHROOM2	-0.84	2.15E-03
VGLL2	-0.26	2.16E-03
LRRC10B	-0.54	2.16E-03
DDX42	0.15	2.16E-03
GNPNAT1	0.3	2.16E-03
HLA-F-AS1	-0.58	2.17E-03
PSEN2	-0.36	2.17E-03
CHADL	-0.73	2.19E-03
ERI2	-0.2	2.20E-03
NABP1	0.41	2.20E-03
CETP	0.64	2.20E-03
CA1	-0.51	2.21E-03
GABRE	-1	2.21E-03
HAPLN4	-0.73	2.21E-03
DYNC1I2	0.25	2.22E-03
C1QL1	-1.21	2.22E-03
ISCA1	0.21	2.23E-03
PANK4	-0.23	2.23E-03
ADAMTSL2	-1.11	2.23E-03
ACSM3	0.62	2.24E-03
CDKN2C	-0.46	2.24E-03
ALKBH5	-0.22	2.24E-03
ADSS1	-0.67	2.25E-03
TBC1D2B	-0.36	2.25E-03
EPB42	-0.17	2.25E-03
EIF2S2	0.23	2.26E-03
MAST3	-0.32	2.26E-03
HNRNPCL1	-0.37	2.28E-03
NCAM2	-0.92	2.28E-03
LRIG1	-0.37	2.30E-03
SHARPIN	0.33	2.31E-03
ZNF75D	-0.3	2.33E-03
SPATA5	0.37	2.34E-03
FABP5	0.7	2.35E-03
MAP7D3	0.55	2.36E-03
LRRC37A3	0.51	2.36E-03
NCBP2	0.24	2.36E-03
MYO15A	-0.58	2.36E-03
AK4	0.56	2.37E-03
TPT1-AS1	0.32	2.37E-03
ZNF16	0.3	2.38E-03
ST13	0.18	2.38E-03
ZBTB2	0.24	2.38E-03
ZFP1	-0.34	2.39E-03
ROR2	-0.87	2.39E-03
THRA	-0.33	2.39E-03
IGFALS	-1.32	2.40E-03
PARP16	-0.25	2.40E-03
INHBE	-0.95	2.43E-03
GABPB1-IT1	-0.35	2.43E-03
HSPH1	0.34	2.44E-03
SPINK5	-0.88	2.45E-03
RXYLT1	0.19	2.46E-03
UXS1	0.27	2.46E-03
CIZ1	0.26	2.47E-03
RPS15A	0.32	2.47E-03
LRRC25	0.55	2.48E-03
TEF	-0.43	2.49E-03
PGAP6	-0.25	2.50E-03
DCDC2	1.16	2.50E-03
COL4A4	-0.85	2.51E-03
TOMM6	0.28	2.51E-03
TMCC1	0.41	2.52E-03
OSBP	-0.2	2.53E-03
FAM99A	-1.44	2.53E-03
CCDC80	-1.02	2.53E-03
RAB32	0.36	2.53E-03
LYN	0.36	2.53E-03
SUPT3H	0.46	2.54E-03
SLC2A13	-0.41	2.57E-03
HEXIM1	-0.3	2.57E-03
STARD3NL	0.32	2.58E-03
VCAM1	0.95	2.58E-03
PRMT1	0.33	2.59E-03
UCHL3	0.28	2.59E-03
MT1H	1.38	2.59E-03
FGF14	-0.91	2.61E-03
YWHAH	0.22	2.61E-03
RIOX2	0.36	2.61E-03
NDUFAF4	0.3	2.61E-03
MYLPF	-0.26	2.61E-03
C2ORF49	0.2	2.61E-03
WFS1	-0.29	2.63E-03
FIBIN	-0.96	2.64E-03
CCDC59	0.22	2.64E-03
ITGB3	-0.68	2.64E-03
RASD2	-0.54	2.64E-03
RGS11	-0.7	2.65E-03
TRABD2A	1.05	2.65E-03
HDGF	0.19	2.65E-03
NT5C1B	-0.37	2.66E-03
LIPC	0.63	2.67E-03
UBXN8	0.35	2.67E-03
MESP2	-0.59	2.67E-03
UBE3D	0.43	2.69E-03
LMNTD2	-0.41	2.70E-03
ESYT1	-0.21	2.70E-03
SOS2	-0.3	2.70E-03
HOXA11-AS	-0.57	2.71E-03
NUP88	0.23	2.71E-03
YWHAQ	0.22	2.72E-03
ADAL	-0.34	2.72E-03
SEC16A	-0.2	2.73E-03
ADO	0.19	2.74E-03
C20ORF141	-0.1	2.74E-03
DNAJB4	0.48	2.75E-03
CTU1	0.33	2.77E-03
MS4A10	-0.55	2.78E-03
SELENOI	0.24	2.79E-03
SPPL2B	-0.25	2.79E-03
LONRF1	0.41	2.79E-03
KIF2A	0.37	2.79E-03
GREB1L	-0.81	2.79E-03
RPL10	0.3	2.80E-03
HSD17B13	-1.76	2.80E-03
ACYP2	-0.38	2.80E-03
FAM169A	0.62	2.80E-03
TCP1	0.29	2.80E-03
CLCN1	-0.52	2.81E-03
BTNL8	-1.12	2.81E-03
MIRLET7BHG	-0.44	2.81E-03
PALLD	0.55	2.84E-03
RAB4B	-0.29	2.85E-03
ST7-AS1	-0.47	2.86E-03
CITED1	-0.46	2.87E-03
TRIM16L	0.88	2.87E-03
LINC00574	-0.59	2.87E-03
F8A1	-0.32	2.88E-03
UGDH	0.44	2.89E-03
EEF1E1	0.31	2.89E-03
NPHP1	0.54	2.90E-03
ENDOV	-0.4	2.91E-03
LONP2	-0.39	2.92E-03
PHF14	0.19	2.93E-03
ZKSCAN2	-0.24	2.93E-03
ANKH	-0.28	2.93E-03
TRPM7	-0.32	2.94E-03
REEP3	-0.24	2.94E-03
XRCC6	0.19	2.94E-03
PKIB	1.03	2.96E-03
RSRP1	-0.37	2.97E-03
HNRNPM	0.18	2.99E-03
EDA	-0.71	2.99E-03
TMEM270	-0.62	3.00E-03
TSACC	0.62	3.01E-03
HDC	-0.72	3.01E-03
RPE	0.19	3.02E-03
EOLA1	-0.24	3.02E-03
TMEM86B	0.63	3.02E-03
SOWAHC	0.31	3.02E-03
CHORDC1P4	0.34	3.03E-03
SNRPB	0.32	3.03E-03
ROPN1B	-0.76	3.03E-03
LRP2	1.24	3.03E-03
SPPL2A	-0.29	3.04E-03
RNF214	0.2	3.04E-03
TMEM45B	-1.31	3.06E-03
PLPPR1	0.83	3.07E-03
KIF1B	-0.29	3.07E-03
TPPP	-0.81	3.08E-03
RSU1P2	-0.11	3.09E-03
THOC5	0.27	3.09E-03
RLN3	-0.18	3.09E-03
HAO2	-1.55	3.10E-03
SNRPB2	0.22	3.11E-03
OPHN1	-0.51	3.11E-03
GNG13	-0.09	3.12E-03
PRKAR1B	0.48	3.12E-03
SOAT2	1.46	3.12E-03
NT5C2	0.26	3.13E-03
BICD1	0.54	3.14E-03
ZNF735	-0.34	3.14E-03
TTC23	-0.33	3.14E-03
SLC9C2	-0.49	3.15E-03
CNTN2	-0.52	3.15E-03
LIMD1	-0.29	3.16E-03
HAPLN2	-0.32	3.16E-03
MCF2	-0.31	3.17E-03
TRMT61A	0.28	3.21E-03
ARHGAP6	-0.45	3.22E-03
SPATS1	-0.25	3.24E-03
BPIFA4P	-0.13	3.25E-03
ANO8	-0.44	3.25E-03
OLFM2	-0.62	3.26E-03
LINC02817	-0.65	3.26E-03
MAX	0.15	3.27E-03
TSPAN7	0.56	3.28E-03
CNOT10	0.19	3.28E-03
HCFC2	-0.28	3.29E-03
RNF185	-0.21	3.29E-03
CTSF	-0.46	3.29E-03
SCNN1D	-0.57	3.29E-03
LSMEM1	-0.44	3.31E-03
ABHD5	-0.26	3.32E-03
AGPAT5	0.43	3.33E-03
MGRN1	-0.22	3.33E-03
RORC	-0.92	3.33E-03
CD83	0.42	3.33E-03
PRKCE	-0.41	3.34E-03
ZNRF3	0.5	3.35E-03
AARSD1	0.29	3.35E-03
LOC728989	-0.54	3.35E-03
ANKRD55	0.64	3.36E-03
HES5	-0.48	3.36E-03
TMEM237	0.35	3.36E-03
TADA2B	-0.21	3.37E-03
CCDC159	-0.31	3.37E-03
HINFP	0.18	3.38E-03
MED18	-0.23	3.38E-03
DCUN1D5	0.31	3.39E-03
TMEM43	0.26	3.40E-03
ST8SIA2	-0.28	3.40E-03
C1QC	0.54	3.40E-03
PRAMEF6	-0.66	3.41E-03
EBI3	0.55	3.41E-03
GTF3C3	0.22	3.43E-03
SOWAHA	-0.66	3.43E-03
WDR55	0.19	3.43E-03
ING5	0.25	3.45E-03
SF1	0.13	3.47E-03
DRG1	0.2	3.47E-03
SIPA1L2	-0.5	3.47E-03
SNAPC4	0.28	3.48E-03
YBX3	0.67	3.49E-03
KCMF1	0.14	3.50E-03
SDHB	-0.31	3.51E-03
NRBP1	0.18	3.52E-03
RPL13AP3	0.48	3.52E-03
TP53	0.43	3.53E-03
NPTN	-0.17	3.54E-03
TEX14	-0.39	3.54E-03
TASP1	0.26	3.54E-03
SLC25A10	-0.35	3.54E-03
DDN	0.75	3.54E-03
ASAP3	-0.47	3.55E-03
SENP3	0.21	3.56E-03
PSMF1	0.19	3.57E-03
RANBP10	-0.28	3.57E-03
NARS2	0.26	3.58E-03
CKS2	0.45	3.58E-03
ROBO1	0.7	3.59E-03
YBX3P1	0.63	3.59E-03
EIF3A	0.23	3.60E-03
AVPR2	-0.5	3.61E-03
MITD1	0.2	3.62E-03
SMARCA2	-0.46	3.63E-03
SMIM20	0.31	3.63E-03
EIF6	0.27	3.65E-03
ILKAP	0.19	3.66E-03
HDAC8	-0.19	3.66E-03
DAXX	0.18	3.66E-03
DNASE2	-0.32	3.66E-03
GLO1	0.27	3.66E-03
NEURL3	0.93	3.67E-03
CPLX2	1.97	3.67E-03
COQ9	-0.31	3.68E-03
POLR3A	0.24	3.68E-03
KPNB1	0.22	3.68E-03
VPS39	-0.19	3.69E-03
GMPPB	-0.28	3.70E-03
KLHL31	0.4	3.71E-03
PCSK1N	1.46	3.71E-03
PPP2R2A	0.29	3.71E-03
IER3	0.66	3.72E-03
XPA	0.18	3.72E-03
MIP	-0.5	3.72E-03
PITPNB	0.18	3.74E-03
PTDSS1	0.29	3.74E-03
TMCO4	-0.27	3.76E-03
FBN1	-0.69	3.76E-03
ARRDC2	-0.53	3.76E-03
FBP2	-0.23	3.77E-03
GUSBP2	-0.37	3.77E-03
C4ORF19	-0.46	3.77E-03
PROKR1	-0.26	3.78E-03
ZNF251	0.34	3.78E-03
SNHG1	0.41	3.80E-03
SUPT20HL2	-0.14	3.81E-03
B4GALNT2	-1.03	3.81E-03
TEKT4	-0.52	3.82E-03
TBC1D31	0.34	3.82E-03
UBE2V2	0.26	3.83E-03
AKR7A2	-0.32	3.84E-03
PTDSS2	0.31	3.84E-03
KRT18	0.32	3.84E-03
TOX2	-0.56	3.87E-03
SEPTIN6	-0.47	3.87E-03
FAM124B	-0.56	3.88E-03
PCBP2	0.16	3.88E-03
SEC61A1	-0.19	3.88E-03
DSP	0.37	3.88E-03
BMS1	0.17	3.89E-03
SRSF3	0.18	3.89E-03
ZP2	-0.09	3.91E-03
DGKH	-0.32	3.91E-03
PHB	0.26	3.91E-03
PRMT9	-0.25	3.92E-03
FMO2	-0.76	3.92E-03
DECR2	-0.38	3.93E-03
TONSL	0.52	3.93E-03
FGF7	-0.64	3.93E-03
HCG27	-0.43	3.93E-03
ALG8	0.22	3.94E-03
EXOSC7	0.22	3.94E-03
ITPKA	-0.89	3.94E-03
ZC3H3	0.3	3.95E-03
HYOU1	-0.26	3.95E-03
